,,,Solde … fin,12/26 ..,..........,.......,,,"9374225,09",!,,9374225,","
Compte :,411000,,02959       BM TRADE,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
8/1/2026,21,10,FACTURE 2600023    /26C0003,8/1/2026,2600023,7/2/2026,!,"1123401,4",,!,,334220,
9/1/2026,8500021,85,CHQ PTF BM TRADE,9/1/2026,,8/2/2026,!,,"1123401,4",!,,334220,
13/1/2026,58,10,FACTURE 2600035    /25C1659,9/1/2026,2600035,9/1/2026,!,440000,,!,,,
13/1/2026,70,10,FACTURE 2600075    /25C1701,13/1/2026,2600075,12/2/2026,!,"31729312,61",,!,,,
14/1/2026,76,10,FACTURE 2600081    /25C1636,13/1/2026,2600081,13/1/2026,!,"5103536,26",,!,,,
14/1/2026,81,10,FACTURE 2600086    /25C1636,14/1/2026,2600086,13/2/2026,!,"43412991,14",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"81809241,41","1123401,4",!,"80685840,01",,
Compte :,411000,,03104       INDUSTRIAL PAPER CO,NVERTING,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
7/1/2026,5,10,FACTURE 2600007    /25C1633,7/1/2026,2600007,6/2/2026,!,"2063099,56",,!,,,
7/1/2026,6,10,FACTURE 2600008    /25C1634,7/1/2026,2600008,6/2/2026,!,"4465747,06",,!,,,
9/1/2026,27,10,FACTURE 2600033    /25C1633,9/1/2026,2600033,8/2/2026,!,"19713215,39",,!,,,
9/1/2026,28,10,FACTURE 2600034    /25C1634,9/1/2026,2600034,8/2/2026,!,"39478382,5",,!,,,
12/1/2026,41,10,FACTURE 2600039    /25C1635,9/1/2026,2600039,9/1/2026,!,114000,,!,,,
12/1/2026,8500031,85,CHQ PTF IPC,12/1/2026,,11/2/2026,!,,7182000,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"65834444,51",7182000,!,"58652444,51",,
Compte :,411000,,031169      STAR,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
12/1/2026,3520014,35,VRMNT RECU STAR,12/1/2026,,11/2/2026,!,,"140265067,2",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,,"140265067,2",!,,140265067,","
Compte :,411000,,03455       ISLAND TRANSIT MADA,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
12/1/2026,35,10,FACTURE 2600059    /25F0214,9/1/2026,2600059,9/1/2026,!,"2530018,08",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"2530018,08",,!,"2530018,08",,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
ET468,,,,G R A,N D - L I,V R E,,A U X I L I,A I R E,,le 14/01/26,… 17:03:0,0
TRANSIT,TRANSPOR,T ET,TRRAT,-----,----------,--------,-,--------------,-------,,P,age :   000,7
PERIODE,DE   1/2,6 …,déc.-26,,,,,,,,,,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
Date,,Cod,e,Date,,Date,!,,,!,,Nø lettrag,e
Comptabl,e PiŠce,Jrn,Libell‚,Facture,R‚f‚rence,Ech‚ance,!,D‚bit,Cr‚dit,!,Solde d‚bite,ur/cr‚diteu,r
========,========,====,===============================,========,==========,========,!,==============,=============,!,==============,===========,=
Compte :,411000,,03571       ROADTECH SARL,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
9/1/2026,8500021,85,CHQ PTF ROADTECH,9/1/2026,,,!,,26221100,!,,,
13/1/2026,65,10,FACTURE 2600067    /25C1631,12/1/2026,2600067,12/1/2026,!,25901387,,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,25901387,26221100,!,,319713,","
